"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           9,                 0,      -5.476921339,      -2.402457412,      -3.159429504,   -0.008541109461,      -1.606447398,       3.199857744
          1,           0,           9,             0.003,      -6.226634548,      -2.706678721,      -3.807077699,     -0.7943833897,      -1.653335557,       2.948044915
          2,           0,           9,             0.006,      -6.334590402,      -2.892721956,      -3.978718901,      -1.417503204,      -1.791279403,       2.552919981
          3,           0,           9,             0.009,      -6.191111331,      -3.031090913,      -4.015260717,      -1.663342727,      -1.939353162,       2.214276755
          4,           0,           9,             0.012,      -6.098001188,      -3.142337275,      -4.037209359,      -1.707719024,      -2.073654739,       2.011885735
          5,           0,           9,             0.015,      -6.034437465,      -3.231833458,       -4.04931722,      -1.714865865,      -2.189771608,       1.872731878
          6,           0,           9,             0.018,      -5.988151442,      -3.304928146,      -4.056141667,      -1.709013405,      -2.290031634,       1.755498131
          7,           0,           9,             0.021,      -5.954592983,      -3.365515261,      -4.058487159,      -1.694316256,      -2.377878188,       1.654590445
          8,           0,           9,             0.024,      -5.928024518,      -3.416988152,      -4.059116374,      -1.691288071,      -2.456141993,       1.569664195
          9,           0,           9,             0.027,       -5.90617329,      -3.460869223,       -4.05858005,      -1.682594441,      -2.526861473,       1.499036032
