"PointID","x","y","Pressure","Velocity_x","Velocity_y","Sound speed","Enthalpy","Turb_Kin_Energy","Omega","Species_0"
25, 0.000000000000000e+00, 5.263157894748330e-04, 3.216368059661914e+01, 5.299950643440195e+01, 6.303726165049961e-04, 0.000000000000000e+00, 3.391079996084471e+05, 9.294277249087196e+00, 2.508652813647367e+05, 1.000008164003859e+00
26, 0.000000000000000e+00, 2.631578947379200e-04, 3.218297961564546e+01, 5.299953585028674e+01, 3.712045269728753e-04, 0.000000000000000e+00, 3.391080008687805e+05, 9.294253807692536e+00, 2.508646348540579e+05, 1.000004944237902e+00
27, 6.249999999986372e-04, 0.000000000000000e+00, 3.218463255125278e+01, 5.299743351683602e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391079807302166e+05, 7.611089912928127e+00, 2.084628705899188e+05, 1.000027208783025e+00
28, 1.249999999997294e-03, 0.000000000000000e+00, 3.238871526237703e+01, 5.299299824457400e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391079487670288e+05, 6.403999382533824e+00, 1.776614051863551e+05, 1.000046666934859e+00
29, 1.874999999996248e-03, 0.000000000000000e+00, 3.266782235329429e+01, 5.298756722974049e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391079006309633e+05, 5.502551385306250e+00, 1.543959137522299e+05, 1.000067234668244e+00
30, 2.499999999994326e-03, 0.000000000000000e+00, 3.300654693676947e+01, 5.298162011502188e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391078369679377e+05, 4.807366336603971e+00, 1.362699380438597e+05, 1.000087138616635e+00
31, 3.124999999992361e-03, 0.000000000000000e+00, 3.336453219790278e+01, 5.297582426552367e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391077602970161e+05, 4.257096702837440e+00, 1.217893302348168e+05, 1.000103885675842e+00
32, 3.749999999990481e-03, 0.000000000000000e+00, 3.370473904525081e+01, 5.297079969829547e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391076747209425e+05, 3.812068497057242e+00, 1.099790698544194e+05, 1.000115268829463e+00
33, 4.374999999988178e-03, 0.000000000000000e+00, 3.399193713768983e+01, 5.296712624032643e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391075856942643e+05, 3.445611848683870e+00, 1.001783096808488e+05, 1.000119264127682e+00
34, 4.999999999986722e-03, 0.000000000000000e+00, 3.419388295917946e+01, 5.296533713949459e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391074998198929e+05, 3.139204695498601e+00, 9.192461073167018e+04, 1.000114032417953e+00
35, 5.624999999984589e-03, 0.000000000000000e+00, 3.428100850359606e+01, 5.296592746505359e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391074247088134e+05, 2.879620836837561e+00, 8.488543608803485e+04, 1.000097872720382e+00
36, 6.249999999982454e-03, 0.000000000000000e+00, 3.422579354221754e+01, 5.296936584899881e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391073688691839e+05, 2.657186451299058e+00, 7.881597488505203e+04, 1.000069178245285e+00
37, 6.874999999980998e-03, 0.000000000000000e+00, 3.400200680796471e+01, 5.297610699166606e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391073416083894e+05, 2.464676632346587e+00, 7.353227356989411e+04, 1.000026397844337e+00
38, 7.499999999979035e-03, 0.000000000000000e+00, 3.358396387517417e+01, 5.298660309915315e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391073530030569e+05, 2.296595570730424e+00, 6.889360141393574e+04, 9.999680006592631e-01
39, 8.124999999981248e-03, 0.000000000000000e+00, 3.294583694203975e+01, 5.300131332443427e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391074138773146e+05, 2.148694383841603e+00, 6.479057041794572e+04, 9.998924632228027e-01
40, 8.749999999982952e-03, 0.000000000000000e+00, 3.206105993442964e+01, 5.302070954204715e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391075357844291e+05, 2.017640476369226e+00, 6.113694510446325e+04, 9.997982925333585e-01
41, 9.374999999984658e-03, 0.000000000000000e+00, 3.090188448780602e+01, 5.304527519643726e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391077309622881e+05, 1.900786058081422e+00, 5.786387989804103e+04, 9.996841143179653e-01
42, 9.999999999986362e-03, 0.000000000000000e+00, 2.943925654788389e+01, 5.307549052131036e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391080122082387e+05, 1.796003084600230e+00, 5.491579131267483e+04, 9.995488756628420e-01
43, 1.062499999998807e-02, 0.000000000000000e+00, 2.764339304674597e+01, 5.311179192660371e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391083925758726e+05, 1.701563652821523e+00, 5.224735491320650e+04, 9.993922337092324e-01
44, 1.124999999998977e-02, 0.000000000000000e+00, 2.548582024442882e+01, 5.315448557879508e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391088847306030e+05, 1.616052099176079e+00, 4.982129120943648e+04, 9.992152151433877e-01
45, 1.187499999999148e-02, 0.000000000000000e+00, 2.294421625084084e+01, 5.320358660086796e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391094997170552e+05, 1.538299516559623e+00, 4.760671247724140e+04, 9.990211904477846e-01
46, 1.249999999999318e-02, 0.000000000000000e+00, 2.001240771868429e+01, 5.325855266857991e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391102447970474e+05, 1.467334145133413e+00, 4.557786779120888e+04, 9.988170530109246e-01
47, 1.312499999999489e-02, 0.000000000000000e+00, 1.671726320304691e+01, 5.331789236331183e+01, 0.000000000000000e+00, 0.000000000000000e+00, 3.391111202380497e+05, 1.402341879033858e+00, 4.371313378006770e+04, 9.986134812810258e-01
