"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,"LinSolIter",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" , "Avg_TotalPress" ,"Avg_TotalPress(inlet_gas)","Avg_TotalPress(inlet_air)","Avg_TotalPress(outlet)"
          0,           0,           0,-2.417021300692507,-0.2758324310712289,-16.64848672563242,-0.6844936427763231, 3.117380793252717,           5,  -2.1395530270125,               3,-5.296261072268338, 1435.577117754959,           1404.56886511062,         -1503.248146040291,        1534.25639868463
          0,           0,           1,-2.799470220414916,-0.5317272350155817,-2.417997870793167,-1.112434263456001, 2.683438897153239,           5,-1.702420587773198,               4,  -6.3525231537998,-479.7591279690132,           853.208514286054,          -2490.66870079619,       1157.701058541123
          0,           0,           2, -3.26121200280447,-1.078530940221404,-2.403470403439747,-1.399396563816045, 2.313397634019309,           5,-1.127439405292609,               4,-6.193112264082398,-2138.737679541802,           80.4283806986175,         -2805.733775950008,       586.5677157095877
          0,           0,           3,-3.343459258240893,-1.309319202098948,-2.381511409875139,-1.515063420327092, 2.000475290370924,           5,-0.9406914386178736,               4,-5.686939992352794,-3564.733386890805,         -603.1766260954986,         -2940.500888331278,      -21.05587246402802
          0,           0,           4, -3.33347814676322,-1.328181995567311,-2.352977154408658,-1.557403005548707, 1.760362781614569,           5,-0.9530773719220427,               4,-5.145060252895854,-4721.368305165463,          -1126.38424678602,         -3033.079491077347,      -561.9045673020959
          0,           0,           5,-3.308176750245576,-1.270685789203033,-2.356740304756154,-1.555095252294706, 1.592302624738211,           5,-1.127457229327659,               5,-5.898213389748057,-5517.330708991996,         -1457.701492177086,         -3117.002178243691,      -942.6270385712195
          0,           0,           6,-3.291762533017471,-1.206236285984661,-2.416790891002282,-1.594819266605583, 1.485391440063197,           5,-1.399408274095939,               5,-5.584712526249458,-5898.435761302617,          -1615.79258791418,         -3175.621912000431,      -1107.021261388006
          0,           0,           7,-3.290299384038345,-1.174723459196731, -2.53369487592603,-1.746558132840107, 1.415298257745925,           5,-1.609584509903109,               5,-5.405609059917215,-5847.147780242309,         -1644.759688746167,         -3136.163369398647,      -1066.224722097495
          0,           0,           8,-3.308634301418543,-1.186604427414374,-2.653607324277001,-1.665802465984922, 1.379362561383212,           5, -1.69547166192574,               5,-5.130639731301489,-5311.969080967552,         -1540.535256191509,         -2889.225385577124,       -882.208439198919
          0,           0,           9,-3.335150193563139,-1.225760253103571,-2.732822380401535,-1.575573654062153, 1.375488016094587,           5,-1.648729437904793,               5,-4.891069524036947, -4235.56421600862,         -1241.575643840015,         -2365.409916979007,      -628.5786551895972
          0,           0,          10,-3.329497740302786,-1.248533524576664,-2.797707391488218,-1.569612280112749, 1.375690982885606,           5,-1.527471450739052,               5,-4.706033557170914,-2708.803455669644,          -704.108027913242,         -1625.100214423632,      -379.5952133327704
          0,           0,          11,-3.298205075012987,-1.243134977970235,-2.809545980666124,-1.640954870094548, 1.330416484386638,           5,-1.421165202196587,               5,-4.606368961654561,-970.8380328718586,           13.0690592370414,         -820.7493675591453,      -163.1577245497547
          0,           0,          12,-3.297974074676492,-1.257460500229971,-2.777396924461291,-1.721399595958308, 1.262214253214417,           5,-1.330205954169996,               5,-4.631245410909895, 753.8861928946794,          797.6401432634884,         -69.63265260278919,       25.87870223398023
          0,           0,          13,-3.335177135378953,-1.303923925226711,-2.725108193118303,-1.756753061014103, 1.210118996757513,           5,-1.236954666078357,               5,-4.612999358930027,  2316.90393111779,          1545.042354440902,          565.4293001288682,       206.4322765480206
          0,           0,          14,-3.394353948621192,-1.363811877007213,-2.664561448235157,-1.734796194562952, 1.188344723493329,           5,-1.231940258411161,               5,-4.612407827609623, 3664.568184572134,           2193.47788935805,          1076.527454313453,       394.5628409006311
          0,           0,          15, -3.42914601571276, -1.38138937943926,-2.669426455586132,-1.716121836606087, 1.178126312101474,           5,-1.330872926575073,               5, -4.65405946841197, 4747.182987530639,          2715.512371190116,           1471.73374929421,       559.9368670463132
          0,           0,          16,-3.417502628776492,-1.360486110916357,-2.756618311351795,-1.704284635567601, 1.164422928974439,           5,-1.424275366260792,               5,-4.607175205121313, 5495.080387169124,          3098.420046870693,          1737.316449860468,       659.3438904379639
          0,           0,          17,-3.419088481454105,-1.370934369690209,-2.792392478896036,-1.700903653365271, 1.142716789762039,           5, -1.50353955447411,               5,-4.516778473456291, 5889.457731254067,          3340.604424653585,          1863.753536634384,       685.0997699660975
          0,           0,          18, -3.45918215836683,-1.425401516565233, -2.84549741394054,-1.731537623960583, 1.098964288793724,           5,-1.594002694911851,               5,-4.410286411896903, 5955.333045150952,          3450.359917592988,          1857.030454725565,          647.9426728324
          0,           0,          19, -3.53852577764514,-1.508815648222719,-3.010507946281996,-1.794839236319612,   1.0453274611685,           5,-1.560988542440412,               5,-4.320441098872139, 5763.117401508569,           3436.33068024154,          1733.319743980471,       593.4669772865582
          0,           0,          20,-3.611745406907455,-1.579388110731498,-3.092323626921047,-1.853803036976033, 1.002998200199252,           5, -1.42843091872886,               5,-4.249063306752165, 5352.585263574982,          3308.380801329085,          1512.965042515651,        531.239419730246
          0,           0,          21,-3.652512791582294,-1.609576141480387,-3.065962088972042,-1.898670304299153,0.9638580982139984,           5,-1.326562124444124,               5,-4.194794534183845, 4752.314011815864,          3079.671663088238,           1214.48872023033,       458.1536284972966
