"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega"
40, 8.749999999982952e-03, 0.000000000000000e+00, 3.998578426318079e+01, 5.310415773267714e+01, 0.000000000000000e+00, 3.311819877074838e+00, 4.980628761326591e+04
41, 9.374999999984658e-03, 0.000000000000000e+00, 3.802585391723729e+01, 5.314055767043770e+01, 0.000000000000000e+00, 3.153057467298447e+00, 4.760141577332700e+04
42, 9.999999999986362e-03, 0.000000000000000e+00, 3.565114449318715e+01, 5.318414846194296e+01, 0.000000000000000e+00, 3.008167430489266e+00, 4.558172861429419e+04
43, 1.062499999998807e-02, 0.000000000000000e+00, 3.280400871989379e+01, 5.323575688857483e+01, 0.000000000000000e+00, 2.875475463050275e+00, 4.372547273755458e+04
44, 1.124999999998977e-02, 0.000000000000000e+00, 2.942316704047043e+01, 5.329605170482476e+01, 0.000000000000000e+00, 2.753565181320295e+00, 4.201418234277298e+04
45, 1.187499999999148e-02, 0.000000000000000e+00, 2.545406241754441e+01, 5.336521360674657e+01, 0.000000000000000e+00, 2.641229251234882e+00, 4.043206664419204e+04
46, 1.249999999999318e-02, 0.000000000000000e+00, 2.087184706788145e+01, 5.344237428600879e+01, 0.000000000000000e+00, 2.537429105922601e+00, 3.896550367734563e+04
47, 1.312499999999489e-02, 0.000000000000000e+00, 1.572482521908380e+01, 5.352481467805271e+01, 0.000000000000000e+00, 2.441260837376293e+00, 3.760260930629187e+04
48, 1.374999999999659e-02, 0.000000000000000e+00, 1.020496006382288e+01, 5.360712091691474e+01, 0.000000000000000e+00, 2.351926563901237e+00, 3.633286843698373e+04
49, 1.437499999999830e-02, 0.000000000000000e+00, 4.772332184800582e+00, 5.368124931676839e+01, 0.000000000000000e+00, 2.268592799917715e+00, 3.514542881199801e+04
50, 1.663793103447950e-02, 0.000000000000000e+00, -5.306204191390891e+00, 5.379727883449394e+01, 0.000000000000000e+00, 1.969145997694690e+00, 3.084289357941501e+04
51, 1.827586206895901e-02, 0.000000000000000e+00, -5.976708639600488e+00, 5.380249352345108e+01, 0.000000000000000e+00, 1.825814611268106e+00, 2.876587462484535e+04
52, 1.991379310343851e-02, 0.000000000000000e+00, -6.049816556064084e+00, 5.380127800049976e+01, 0.000000000000000e+00, 1.700719836839416e+00, 2.694318480640111e+04
53, 2.155172413791802e-02, 0.000000000000000e+00, -5.695224929202232e+00, 5.379816409573451e+01, 0.000000000000000e+00, 1.590675305241074e+00, 2.533147546241889e+04
54, 2.318965517239752e-02, 0.000000000000000e+00, -5.550780113296125e+00, 5.379769049328214e+01, 0.000000000000000e+00, 1.493195204809307e+00, 2.389677103826444e+04
55, 2.482758620687702e-02, 0.000000000000000e+00, -5.557197556403829e+00, 5.379908457205810e+01, 0.000000000000000e+00, 1.406304159695103e+00, 2.261194463211345e+04
56, 2.646551724135653e-02, 0.000000000000000e+00, -5.681900035240217e+00, 5.380166362100475e+01, 0.000000000000000e+00, 1.328412194117083e+00, 2.145506131089908e+04
57, 2.810344827583603e-02, 0.000000000000000e+00, -5.861662260571642e+00, 5.380463983414085e+01, 0.000000000000000e+00, 1.258226117916141e+00, 2.040820234925639e+04
58, 2.974137931031511e-02, 0.000000000000000e+00, -6.052038880556369e+00, 5.380747455292013e+01, 0.000000000000000e+00, 1.194684441818257e+00, 1.945659805241640e+04
59, 3.137931034479436e-02, 0.000000000000000e+00, -6.222645431021554e+00, 5.380982732057799e+01, 0.000000000000000e+00, 1.136908587880489e+00, 1.858797505629979e+04
60, 3.301724137927399e-02, 0.000000000000000e+00, -6.355281114354173e+00, 5.381152769293284e+01, 0.000000000000000e+00, 1.084165788263311e+00, 1.779205796638376e+04
61, 3.465517241375449e-02, 0.000000000000000e+00, -6.441923649619006e+00, 5.381255022289284e+01, 0.000000000000000e+00, 1.035840562027719e+00, 1.706018472481745e+04
62, 3.629310344823499e-02, 0.000000000000000e+00, -6.484775306725352e+00, 5.381298570607868e+01, 0.000000000000000e+00, 9.914125443801738e-01, 1.638500648845494e+04
63, 3.793103448271549e-02, 0.000000000000000e+00, -6.493989996664883e+00, 5.381297221944804e+01, 0.000000000000000e+00, 9.504390358205388e-01, 1.576025045166768e+04
64, 3.956896551719599e-02, 0.000000000000000e+00, -6.478827252390830e+00, 5.381261184904469e+01, 0.000000000000000e+00, 9.125411304647724e-01, 1.518053046448713e+04
65, 4.120689655167650e-02, 0.000000000000000e+00, -6.443356351979849e+00, 5.381196106967730e+01, 0.000000000000000e+00, 8.773926878220065e-01, 1.464119600303471e+04
66, 4.284482758615700e-02, 0.000000000000000e+00, -6.390963884391495e+00, 5.381106598974593e+01, 0.000000000000000e+00, 8.447115280887431e-01, 1.413821128921989e+04
67, 4.448275862063750e-02, 0.000000000000000e+00, -6.324239286492327e+00, 5.380996400248092e+01, 0.000000000000000e+00, 8.142523262788691e-01, 1.366805742826981e+04
68, 4.612068965511801e-02, 0.000000000000000e+00, -6.245469237137165e+00, 5.380868745992465e+01, 0.000000000000000e+00, 7.858008349509832e-01, 1.322765261765839e+04
69, 4.775862068959850e-02, 0.000000000000000e+00, -6.156641520410943e+00, 5.380726317178264e+01, 0.000000000000000e+00, 7.591691533808095e-01, 1.281428662294021e+04
70, 4.939655172407840e-02, 0.000000000000000e+00, -6.059292982725998e+00, 5.380571205754882e+01, 0.000000000000000e+00, 7.341918303710692e-01, 1.242556664492060e+04
71, 5.103448275855766e-02, 0.000000000000000e+00, -5.954715397695368e+00, 5.380405008918977e+01, 0.000000000000000e+00, 7.107226365723797e-01, 1.205937234353614e+04
72, 5.267241379303617e-02, 0.000000000000000e+00, -5.843864375914075e+00, 5.380228722591573e+01, 0.000000000000000e+00, 6.886318798958661e-01, 1.171381825640769e+04
73, 5.431034482751468e-02, 0.000000000000000e+00, -5.727324917422975e+00, 5.380042695946420e+01, 0.000000000000000e+00, 6.678041741199845e-01, 1.138722225565864e+04
74, 5.594827586199318e-02, 0.000000000000000e+00, -5.605510671696824e+00, 5.379846488050311e+01, 0.000000000000000e+00, 6.481366120232669e-01, 1.107807897550289e+04
75, 5.758620689647170e-02, 0.000000000000000e+00, -5.478433095349601e+00, 5.379638301716436e+01, 0.000000000000000e+00, 6.295373780107548e-01, 1.078503747789157e+04
76, 5.922413793095020e-02, 0.000000000000000e+00, -5.345715463479770e+00, 5.379414103277622e+01, 0.000000000000000e+00, 6.119250510532339e-01, 1.050688297466067e+04
77, 6.086206896542790e-02, 0.000000000000000e+00, -5.206556150045186e+00, 5.379165573510888e+01, 0.000000000000000e+00, 5.952294832364713e-01, 1.024252375953412e+04
78, 6.249999999990495e-02, 0.000000000000000e+00, -5.059140336641840e+00, 5.378875726612894e+01, 0.000000000000000e+00, 5.793970884011655e-01, 9.990988474790545e+03
79, 6.413793103438147e-02, 0.000000000000000e+00, -4.900172168864882e+00, 5.378509993625077e+01, 0.000000000000000e+00, 5.644094211818865e-01, 9.751451798734943e+03
80, 6.577586206885798e-02, 0.000000000000000e+00, -4.723338827997260e+00, 5.377996906873732e+01, 0.000000000000000e+00, 5.503435734519138e-01, 9.523348331368054e+03
81, 6.741379310333448e-02, 0.000000000000000e+00, -4.515969749965791e+00, 5.377187065422988e+01, 0.000000000000000e+00, 5.375663948818652e-01, 9.306766503847648e+03
82, 6.905172413781099e-02, 0.000000000000000e+00, -4.252705771020262e+00, 5.375765707429735e+01, 0.000000000000000e+00, 5.273774111844487e-01, 9.103837655059962e+03
83, 7.068965517228752e-02, 0.000000000000000e+00, -3.881768597791424e+00, 5.373068112201140e+01, 0.000000000000000e+00, 5.242910635899696e-01, 8.923843129319654e+03
84, 7.232758620676402e-02, 0.000000000000000e+00, -3.302618764037150e+00, 5.367710397022604e+01, 0.000000000000000e+00, 5.447470059013262e-01, 8.801704461191206e+03
85, 7.396551724124054e-02, 0.000000000000000e+00, -2.346989649894517e+00, 5.356962768211609e+01, 0.000000000000000e+00, 6.497871175382942e-01, 8.844078814018701e+03
86, 7.560344827571765e-02, 0.000000000000000e+00, -8.158494988334239e-01, 5.336121584405319e+01, 0.000000000000000e+00, 1.034960951945803e+00, 9.236214720317688e+03
87, 7.724137931019616e-02, 0.000000000000000e+00, 1.364668921508777e+00, 5.298973565361847e+01, 0.000000000000000e+00, 2.131289937394946e+00, 1.004651916829927e+04
88, 7.887931034467467e-02, 0.000000000000000e+00, 3.950569358060649e+00, 5.240571075967236e+01, 0.000000000000000e+00, 4.453233102303007e+00, 1.104451587746453e+04
89, 8.051724137915317e-02, 0.000000000000000e+00, 6.407568231435940e+00, 5.160776403795646e+01, 0.000000000000000e+00, 8.134858352820816e+00, 1.189151775501232e+04
90, 8.215517241363211e-02, 0.000000000000000e+00, 8.235145426023534e+00, 5.064706385018550e+01, 0.000000000000000e+00, 1.273157044421903e+01, 1.240490902273875e+04
91, 8.379310344811261e-02, 0.000000000000000e+00, 9.250347712810898e+00, 4.959694851687211e+01, 0.000000000000000e+00, 1.755482133585559e+01, 1.258615424408036e+04
92, 8.543103448259312e-02, 0.000000000000000e+00, 9.570097009438982e+00, 4.852118828923535e+01, 0.000000000000000e+00, 2.206872406235802e+01, 1.252160457477770e+04
93, 8.706896551707363e-02, 0.000000000000000e+00, 9.426400911553744e+00, 4.746145466428788e+01, 0.000000000000000e+00, 2.601006669536790e+01, 1.230369344726409e+04
94, 8.870689655155413e-02, 0.000000000000000e+00, 9.026437383420829e+00, 4.643967371686742e+01, 0.000000000000000e+00, 2.931632868802333e+01, 1.200119883492768e+04
95, 9.034482758603463e-02, 0.000000000000000e+00, 8.508662971988578e+00, 4.546490864374017e+01, 0.000000000000000e+00, 3.202495771556404e+01, 1.165764310616987e+04
96, 9.198275862051357e-02, 0.000000000000000e+00, 7.951856987790419e+00, 4.453921790939756e+01, 0.000000000000000e+00, 3.420840713111498e+01, 1.129836747654021e+04
97, 9.362068965499125e-02, 0.000000000000000e+00, 7.396366973595488e+00, 4.366131525348544e+01, 0.000000000000000e+00, 3.594367073792798e+01, 1.093751649210363e+04
98, 9.525862068946775e-02, 0.000000000000000e+00, 6.861135560796576e+00, 4.282852917058786e+01, 0.000000000000000e+00, 3.730100210896126e+01, 1.058279930283828e+04
99, 9.689655172394428e-02, 0.000000000000000e+00, 6.354109332345925e+00, 4.203775693955346e+01, 0.000000000000000e+00, 3.834101362870230e+01, 1.023831251993081e+04
100, 9.853448275842079e-02, 0.000000000000000e+00, 5.877846726975769e+00, 4.128589600617958e+01, 0.000000000000000e+00, 3.911487981330071e+01, 9.906123267807090e+03
101, 1.001724137928973e-01, 0.000000000000000e+00, 5.432330895967655e+00, 4.057002260924154e+01, 0.000000000000000e+00, 3.966547961665302e+01, 9.587145642972664e+03
102, 1.018103448273738e-01, 0.000000000000000e+00, 5.016297262174823e+00, 3.988745324193493e+01, 0.000000000000000e+00, 4.002868378305960e+01, 9.281630742518892e+03
103, 1.034482758618503e-01, 0.000000000000000e+00, 4.627835623916947e+00, 3.923575275025001e+01, 0.000000000000000e+00, 4.023452960006162e+01, 8.989446129089069e+03
104, 1.050862068963281e-01, 0.000000000000000e+00, 4.264834866485698e+00, 3.861271893477473e+01, 0.000000000000000e+00, 4.030822139434895e+01, 8.710238941978994e+03
105, 1.067241379308072e-01, 0.000000000000000e+00, 3.925417730973150e+00, 3.801636025427227e+01, 0.000000000000000e+00, 4.027096157469597e+01, 8.443533443176484e+03
106, 1.083620689652876e-01, 0.000000000000000e+00, 3.608027597698960e+00, 3.744487487785856e+01, 0.000000000000000e+00, 4.014063409900135e+01, 8.188790484312237e+03
107, 1.099999999997681e-01, 0.000000000000000e+00, 3.311285510351801e+00, 3.689663124543792e+01, 0.000000000000000e+00, 3.993236423134766e+01, 7.945444070594793e+03
108, 1.116379310342486e-01, 0.000000000000000e+00, 3.033915471594575e+00, 3.637014924177774e+01, 0.000000000000000e+00, 3.965897699278771e+01, 7.712923874967469e+03
109, 1.132758620687288e-01, 0.000000000000000e+00, 2.774716697394212e+00, 3.586408275931500e+01, 0.000000000000000e+00, 3.933137333808193e+01, 7.490669000624960e+03
110, 1.149137931032073e-01, 0.000000000000000e+00, 2.532559523288069e+00, 3.537720405133634e+01, 0.000000000000000e+00, 3.895883966432137e+01, 7.278136226196803e+03
111, 1.165517241376841e-01, 0.000000000000000e+00, 2.306386555486871e+00, 3.490838998712131e+01, 0.000000000000000e+00, 3.854930322895525e+01, 7.074804738739587e+03
112, 1.181896551721607e-01, 0.000000000000000e+00, 2.095212044941077e+00, 3.445661011955720e+01, 0.000000000000000e+00, 3.810954357146449e+01, 6.880178617426498e+03
113, 1.198275862066372e-01, 0.000000000000000e+00, 1.898117838425092e+00, 3.402091639467156e+01, 0.000000000000000e+00, 3.764536804617590e+01, 6.693787874888932e+03
114, 1.214655172411137e-01, 0.000000000000000e+00, 1.714246191291719e+00, 3.360043431286904e+01, 0.000000000000000e+00, 3.716175799508638e+01, 6.515188578035881e+03
115, 1.231034482755902e-01, 0.000000000000000e+00, 1.542788909069778e+00, 3.319435534620575e+01, 0.000000000000000e+00, 3.666299082148997e+01, 6.343962386597696e+03
116, 1.247413793100660e-01, 0.000000000000000e+00, 1.382968798040607e+00, 3.280193035957295e+01, 0.000000000000000e+00, 3.615274217077554e+01, 6.179715720481543e+03
117, 1.263793103445405e-01, 0.000000000000000e+00, 1.234008346116948e+00, 3.242246361023079e+01, 0.000000000000000e+00, 3.563417153819448e+01, 6.022078671486943e+03
118, 1.280172413790170e-01, 0.000000000000000e+00, 1.095108019113038e+00, 3.205530679549467e+01, 0.000000000000000e+00, 3.510999408523883e+01, 5.870703735912210e+03
119, 1.296551724134962e-01, 0.000000000000000e+00, 9.655246128104175e-01, 3.169985341286345e+01, 0.000000000000000e+00, 3.458254155629439e+01, 5.725264533602207e+03
120, 1.312931034479767e-01, 0.000000000000000e+00, 8.446620002708053e-01, 3.135553470629055e+01, 0.000000000000000e+00, 3.405381452679535e+01, 5.585454630233034e+03
121, 1.329310344824572e-01, 0.000000000000000e+00, 7.320279154625422e-01, 3.102181711608686e+01, 0.000000000000000e+00, 3.352552697034076e+01, 5.450986390952343e+03
122, 1.345689655169378e-01, 0.000000000000000e+00, 6.271861318457453e-01, 3.069819995612323e+01, 0.000000000000000e+00, 3.299914424474374e+01, 5.321589843484503e+03
123, 1.362068965514182e-01, 0.000000000000000e+00, 5.297286692124938e-01, 3.038421310136936e+01, 0.000000000000000e+00, 3.247591555157245e+01, 5.197011561496218e+03
124, 1.378448275858978e-01, 0.000000000000000e+00, 4.392651340013042e-01, 3.007941474823727e+01, 0.000000000000000e+00, 3.195690179531647e+01, 5.077013585867057e+03
125, 1.394827586203743e-01, 0.000000000000000e+00, 3.554205343468603e-01, 2.978338933450550e+01, 0.000000000000000e+00, 3.144299960660140e+01, 4.961372396372391e+03
126, 1.411206896548509e-01, 0.000000000000000e+00, 2.778358314253562e-01, 2.949574565732891e+01, 0.000000000000000e+00, 3.093496214861397e+01, 4.849877940123180e+03
127, 1.427586206893294e-01, 0.000000000000000e+00, 2.061685744498666e-01, 2.921611518998270e+01, 0.000000000000000e+00, 3.043341720842621e+01, 4.742332718923097e+03
128, 1.443965517238099e-01, 0.000000000000000e+00, 1.400926773521888e-01, 2.894415057984375e+01, 0.000000000000000e+00, 2.993888298176457e+01, 4.638550935262308e+03
129, 1.460344827582904e-01, 0.000000000000000e+00, 7.929697397724862e-02, 2.867952430215786e+01, 0.000000000000000e+00, 2.945178188388126e+01, 4.538357694995198e+03
130, 1.476724137927709e-01, 0.000000000000000e+00, 2.348198435997870e-02, 2.842192743315994e+01, 0.000000000000000e+00, 2.897245265306940e+01, 4.441588262786424e+03
131, 1.493103448272514e-01, 0.000000000000000e+00, -2.764657130157154e-02, 2.817106847468243e+01, 0.000000000000000e+00, 2.850116094857102e+01, 4.348087362825455e+03
132, 1.509482758617319e-01, 0.000000000000000e+00, -7.438712133546860e-02, 2.792667211187632e+01, 0.000000000000000e+00, 2.803810859884555e+01, 4.257708514739705e+03
133, 1.525862068962124e-01, 0.000000000000000e+00, -1.170419035611012e-01, 2.768847782848083e+01, 0.000000000000000e+00, 2.758344169842464e+01, 4.170313405921869e+03
134, 1.542241379306929e-01, 0.000000000000000e+00, -1.558889429935103e-01, 2.745623858980258e+01, 0.000000000000000e+00, 2.713725785378557e+01, 4.085771325601257e+03
135, 1.558620689651734e-01, 0.000000000000000e+00, -1.911577344137210e-01, 2.722971995152229e+01, 0.000000000000000e+00, 2.669961273373961e+01, 4.003958668154326e+03
136, 1.574999999996539e-01, 0.000000000000000e+00, -2.230397349560160e-01, 2.700869951549986e+01, 0.000000000000000e+00, 2.627052587556883e+01, 3.924758478977188e+03
137, 1.591379310341344e-01, 0.000000000000000e+00, -2.517036042947725e-01, 2.679296640372557e+01, 0.000000000000000e+00, 2.584998578000296e+01, 3.848060029768299e+03
138, 1.607758620686149e-01, 0.000000000000000e+00, -2.773055963325506e-01, 2.658232067382482e+01, 0.000000000000000e+00, 2.543795437137944e+01, 3.773758420134242e+03
139, 1.624137931030977e-01, 0.000000000000000e+00, -2.999945003283530e-01, 2.637657269788658e+01, 0.000000000000000e+00, 2.503437090741381e+01, 3.701754205786113e+03
140, 1.640517241375861e-01, 0.000000000000000e+00, -3.199132892620725e-01, 2.617554254334656e+01, 0.000000000000000e+00, 2.463915541286165e+01, 3.631953053415600e+03
141, 1.656896551720746e-01, 0.000000000000000e+00, -3.371993506261326e-01, 2.597905938211280e+01, 0.000000000000000e+00, 2.425221169825151e+01, 3.564265421409583e+03
142, 1.673275862065631e-01, 0.000000000000000e+00, -3.519843630024631e-01, 2.578696094010722e+01, 0.000000000000000e+00, 2.387343001406855e+01, 3.498606264878919e+03
143, 1.689655172410516e-01, 0.000000000000000e+00, -3.643942968133566e-01, 2.559909299045226e+01, 0.000000000000000e+00, 2.350268938271558e+01, 3.434894763148984e+03
144, 1.706034482755401e-01, 0.000000000000000e+00, -3.745497539656454e-01, 2.541530888836927e+01, 0.000000000000000e+00, 2.313985964402499e+01, 3.373054067698149e+03
145, 1.722413793100285e-01, 0.000000000000000e+00, -3.825668978875659e-01, 2.523546914055042e+01, 0.000000000000000e+00, 2.278480324316822e+01, 3.313011068232986e+03
146, 1.738793103445170e-01, 0.000000000000000e+00, -3.885595209653552e-01, 2.505944099044044e+01, 0.000000000000000e+00, 2.243737678078579e+01, 3.254696173811741e+03
147, 1.755172413790055e-01, 0.000000000000000e+00, -3.926426471690619e-01, 2.488709798083388e+01, 0.000000000000000e+00, 2.209743233751426e+01, 3.198043105061841e+03
148, 1.771551724134940e-01, 0.000000000000000e+00, -3.949347521791469e-01, 2.471831945385831e+01, 0.000000000000000e+00, 2.176481859784865e+01, 3.142988695775391e+03
149, 1.787931034479825e-01, 0.000000000000000e+00, -3.955496914346749e-01, 2.455299003878783e+01, 0.000000000000000e+00, 2.143938184411135e+01, 3.089472710686712e+03
150, 1.804310344824709e-01, 0.000000000000000e+00, -3.945848150445621e-01, 2.439099927302991e+01, 0.000000000000000e+00, 2.112096687024552e+01, 3.037437684508137e+03
151, 1.820689655169594e-01, 0.000000000000000e+00, -3.921202887418424e-01, 2.423224138313832e+01, 0.000000000000000e+00, 2.080941779330916e+01, 2.986828775762987e+03
152, 1.837068965514479e-01, 0.000000000000000e+00, -3.882239878202098e-01, 2.407661511700843e+01, 0.000000000000000e+00, 2.050457874865738e+01, 2.937593629708541e+03
153, 1.853448275859364e-01, 0.000000000000000e+00, -3.829564839117350e-01, 2.392402356553631e+01, 0.000000000000000e+00, 2.020629447428835e+01, 2.889682248096248e+03
154, 1.869827586204248e-01, 0.000000000000000e+00, -3.763742629640206e-01, 2.377437396345961e+01, 0.000000000000000e+00, 1.991441079924743e+01, 2.843046865477887e+03
155, 1.886206896549134e-01, 0.000000000000000e+00, -3.685313080864878e-01, 2.362757747975554e+01, 0.000000000000000e+00, 1.962877505180346e+01, 2.797641832263183e+03
156, 1.902586206894018e-01, 0.000000000000000e+00, -3.594796889681560e-01, 2.348354900976808e+01, 0.000000000000000e+00, 1.934923640054941e+01, 2.753423504608360e+03
157, 1.918965517238903e-01, 0.000000000000000e+00, -3.492696949993802e-01, 2.334220697710649e+01, 0.000000000000000e+00, 1.907564613867549e+01, 2.710350140982201e+03
158, 1.935344827583788e-01, 0.000000000000000e+00, -3.379498344114016e-01, 2.320347314919601e+01, 0.000000000000000e+00, 1.880785791938922e+01, 2.668381805089582e+03
159, 1.951724137928673e-01, 0.000000000000000e+00, -3.255668662870561e-01, 2.306727246752640e+01, 0.000000000000000e+00, 1.854572794878727e+01, 2.627480274737540e+03
160, 1.968103448273558e-01, 0.000000000000000e+00, -3.121659697297692e-01, 2.293353289159005e+01, 0.000000000000000e+00, 1.828911514101063e+01, 2.587608956147804e+03
